,Unnamed: 0,Star_Name,Distance,Mass,radius,Unnamed: 5,Star_name,Distance.1,Mass.1
649,295.0,WISE 1612-3420,55.4,,2010,,,,
650,296.0,WISE 1614+1739,32.6,,2010,,,,
651,297.0,WISE 1617+1807,50.2,,2010,,,,
652,298.0,WISE 1622-0959,52.2,,2010,,,,
653,299.0,WISE 1627+3255,50.2,,2010,,,,
654,300.0,WISE 1639-6847,16.3,,2010,,,,
655,301.0,WISE 1647+5632,28,,2010,,,,
656,302.0,WISE 1653+4444,39.5,,2010,,,,
657,303.0,WISE 1711+3500,60.3,,2010,,,,
658,304.0,WISE 1717+6129,72.7,,2010,,,,
659,305.0,WISE 1721+1117,62.3,,2010,,,,
660,306.0,WISE 1728+5716,97.8,,2010,,,,
661,307.0,WISE 1738+2732,20,,2010,,,,
662,308.0,WISE 1741+2553,18.9,,2010,,,,
663,309.0,WISE 1746-0338,83.8,,2010,,,,
664,310.0,WISE 1800+0134,28.7,,2010,,,,
665,311.0,WISE 1804+3117,30,,2010,,,,
666,312.0,WISE 1809+3838,74.4,,2010,,,,
667,313.0,WISE 1812+2721,47,,2010,,,,
668,314.0,WISE 1828+2650,36,,2010,,,,
669,315.0,WISE 1830+4542,107,,2010,,,,
670,316.0,WISE 1841+7000,131.1,,2010,,,,
671,317.0,WISE 1852+3537,55.4,,2010,,,,
672,318.0,WISE 1906+4508,51.5,,2010,,,,
673,319.0,WISE 1928+2356,22.8,,2010,,,,
674,320.0,WISE 1952+7240,44.4,,2010,,,,
675,321.0,WISE 1959-3338,37.2,,2010,,,,
676,322.0,WISE 2030+0749,34.2,,2010,,,,
677,323.0,WISE 2014+0424,96.2,,2010,,,,
678,324.0,WISE 2015+6646,50.6,,2010,,,,
679,325.0,WISE 2018-7423,47.9,,2010,,,,
680,326.0,WISE 2019-1148,42.4,,2010,,,,
681,327.0,WISE 2056+1459,24.5,,2010,,,,
682,328.0,WISE 2134-7137,42.7,,2010,,,,
683,329.0,WISE 2157+2659,61.6,,2010,,,,
684,330.0,WISE 2209-2734,46,,2010,,,,
685,331.0,WISE 2213+0911,58.7,,2010,,,,
686,332.0,WISE 2220-3628,26.4,,2010,,,,
687,333.0,WISE 2226+0440,45,,2010,,,,
688,334.0,WISE 2237-0614,53.5,,2010,,,,
689,335.0,WISE 2237+7228,46,,2010,,,,
690,336.0,WISE 2239+1617,59.7,,2010,,,,
691,337.0,WISE 2255-3118,44.7,,2010,,,,
692,338.0,WISE 2301+0216,60.7,,2010,,,,
693,339.0,WISE 2313-8037,35.9,,2010,,,,
694,340.0,WISE 2319-1844,52.2,,2010,,,,
695,341.0,WISE 2325-4105,37.5,,2010,,,,
696,342.0,WISE 2327-2730,70.8,,2010,,,,
697,343.0,WISE 2335+4222,90.3,,2010,,,,
698,344.0,WISE 2340-0745,37.8,,2010,,,,
699,345.0,WISE 2342+0856,51.2,,2010,,,,
700,346.0,WISE 2343-7418,48.6,,2010,,,,
701,347.0,WISE 2344+1034,46,,2010,,,,
702,348.0,WISE 2348-1028,54.1,,2010,,,,
703,349.0,WISE 2357+1227,54.8,,2010,,,,
704,350.0,WISE 2359-7335,42.7,,2010,,,,
705,351.0,WISEA 1101+5400,111,,2017,,,,
706,352.0,2M1510,120,,2002,,,,
707,0.0,Sun,0.000015813,1,1,1,,,
708,1.0,Sirius,0008.6,2.1,1.71,25.4,,,
709,2.0,Canopus,0310,15,71,"13,500",,,
710,3.0,Alpha Centauri,0004.4,1.1,1.2,2,,,
711,4.0,Arcturus,0037,1.1,26,170,,,
712,5.0,Vega,0025,2.2,2.7,50,,,
713,6.0,Capella,0043,2.6,12,150,,,
714,7.0,Rigel,0860,23,78.9,"120,000",,,
715,8.0,Procyon,0011.4,1.5,1.9,7.7,,,
716,9.0,Betelgeuse,0640[1],20,950,"60,000",,,
717,10.0,Achernar,0144,6.7,9.3,"3,000",,,
718,11.0,Hadar,0390,10.5,8.6,"42,000",,,
719,12.0,Altair,0017,1.8,1.8,10.5,,,
720,13.0,Acrux,0320,18,8.9,"25,000",,,
721,14.0,Aldebaran,0065,1.5,44,520,,,
722,15.0,Antares,0600,12,680,"75,000",,,
723,16.0,Spica,0260,11.43,7.47,"20,512",,,
724,17.0,Pollux,0034,1.9,8.8,43,,,
725,18.0,Fomalhaut,0025,1.9,1.8,16.6,,,
726,19.0,Deneb,"2,600",19,203,"200,000",,,
727,20.0,Mimosa,0350,16,8.4,"34,000",,,
728,21.0,Regulus,0077,3.8,3.1,290,,,
729,22.0,Adhara,0430,12.5,14,"39,000",,,
730,23.0,Shaula,0700,14.5,8.8,"36,000",,,
731,24.0,Castor,0052,2.8,2.4,30,,,
732,25.0,Gacrux,0088,1.5,84,820,,,
733,26.0,Bellatrix,0240,8.6,5.8,"9,200",,,
734,27.0,Elnath,0130,5.0,4.2,700,,,
735,28.0,Miaplacidus,0110,3.5,6.8,290,,,
736,29.0,Alnilam,"2,000",32,42,"380,000",,,
737,30.0,Gamma Velorum,"01,100",9.0,6,"170,000",,,
738,31.0,Alnair,0101,4.0,3.4,260,,,
739,32.0,Alioth,0081,2.9,4.2,110,,,
740,33.0,Alnitak,01050,33,20,"120,000",,,
741,34.0,Dubhe,0120,4.25,30,300,,,
742,35.0,Mirfak,0590,8.5,68,"5,000",,,
743,36.0,Wezen,"1,600",17,200,"82,000",,,
744,37.0,Sargas,0270,5.7,26,"1,800",,,
745,38.0,Kaus Australis,0140,3.5,6.8,360,,,
746,39.0,Avior,0630,9.0,130,"60,000",,,
747,40.0,Alkaid,0104,6.1,3.4,"1,350",,,
748,41.0,Menkalinan,081,2.39,2.77,50,,,
749,42.0,Atria,0390,7,92,"5,500",,,
750,43.0,Alhena,0109,2.8,3.3,120,,,
751,44.0,Peacock,0180,5.9,4.8,"2,200",,,
752,45.0,Alsephina[2],0080,2.4,2.9,90,,,
753,46.0,Mirzam,0500,13.5,10,"27,000",,,
754,47.0,Polaris,0430,5.4,39,"2,500",,,
755,48.0,Alphard,0180,3.0,50,780,,,
756,49.0,Mintaka,01200,24,16.5,"190,000",,,
757,50.0,Scheat,0196,2.1,95,"1,500",,,
758,51.0,Almaaz,0653,15,140,"43,000",,,
759,52.0,Rasalgethi,0360,2.8,280,"8,300",,,
760,53.0,Tau Ceti,011.9,0.783,0.893,0.52,,,
761,54.0,Delta Pavonis,019.92,0.991,1.22,1.22,,,
762,55.0,Ran,010.48,0.82,0.74,0.34,,,
763,56.0,V382 Carinae,"08,900",20,485,"212,000",,,
764,57.0,Eta Carinae,"07,500",100,60–881,"5,000,000",,,
765,58.0,Delta Cephei,0887,4.5,44.5,"2,000",,,
766,59.0,Mu Cephei,"06,000",19.2,972,"135,000",,,
767,60.0,Titawin,044.25,1.27,1.48,3.57,,,
768,61.0,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000",,,
769,62.0,P Cygni,"05,545",30,76,"610,000",,,
770,63.0,La Superba,"01,000",,129 - 342,"2,472 - 5,800",,,
771,64.0,VV Cephei,"04,900",18.2,"516 - 1,050","200,000",,,
772,65.0,61 Cygni,011.41,0.7,0.665,0.153,,,
773,66.0,R Doradus,0178,0.7 - 1.0,298,"4,350",,,
774,67.0,Polaris Australis,0281,1.59,3.74,38,,,
775,68.0,R Coronae Borealis,"04,566",0.85,85,"10,000",,,
776,69.0,54 Piscium,036.1,0.76,0.94,0.52,,,
777,70.0,Mira,0300,1.2,370,"9,000",,,
778,71.0,RW Cephei,"014,000",13.9,"1,158","417,000",,,
779,72.0,Lacaille 8760,012.87,0.6,0.51,0.072,,,
780,73.0,V838 Monocerotis,"019,896",?,380 - 750,"15,000",,,
781,74.0,HD 140283,0190,?,1.4,3.83,,,
782,75.0,II Pegasi,0130,0.8,3.4,1.06,,,
783,76.0,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000",,,
784,77.0,Pistol Star,"025,000",100,320,"1,700,000",,,
785,78.0,S Doradus,"0169,000",24,380,"910,000",,,
786,79.0,UY Scuti,"05,100",7–10,755,"86,300 - 87,100",,,
787,80.0,Barnard's Star,05.98,0.14,0.20,0.0035,,,
788,81.0,Luhman 16,06.52,0.04,?,?,,,
789,82.0,Proxima Centauri,04.25,0.12,0.15,0.0017,,,
790,83.0,KIC 8462852,"01,470",1.43,1.58,4.68,,,
791,84.0,R136a1,"0163,000",290,32,"8,710,000",,,
792,85.0,Melnick 42,"0163,000",189,21.1,"3,600,000",,,
793,86.0,WR 102,"018,134",19,0.39,"282,000",,,
794,87.0,VFTS 352,"0164,000",57.48,14.47,"330,000",,,
795,88.0,YBP 1194,"02,772",1.01,0.99,0.98,,,
796,89.0,Gliese 1214,047.5,0.16,0.21,0.0033,,,
797,90.0,NML Cygni,"05,251",50,"1,640 - 2,770","229,000",,,
798,91.0,VB 10,018.72,0.075,0.10,0.0004,,,
799,92.0,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000",,,
800,93.0,TRAPPIST-1,039.6,0.089,0.12,0.0005,,,
801,94.0,2MASS J0523-1403,040.3,0.07,0.086,0.00013,,,
802,95.0,WISE 0855−0714,07.27,0.003,?,?,,,
803,96.0,Icarus,"014,400,000,000",33,?,"850,000",,,
